code,name,faculty,facultyCode,url
BOK480,"Genital and urinary tract diseases 480",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BOK%20480
GNK386,"Haematological malignancies 386",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20386
GNK485,"Head and neck 485",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20485
GNK582,"Health and healthcare 582",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20582
CMP380,"Healthcare systems 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20380
GNK381,"Heart and blood vessels 381",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20381
BOK280,"Homeostasis 280",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BOK%20280
SMC214,"Human anatomy II 214",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/SMC%20214
CMP384,"Infectious and chronic diseases 384",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20384
BOK287,"Infectious diseases 287",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BOK%20287
IHL112,"Integrated healthcare leadership 112",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/IHL%20112
IHL120,"Integrated healthcare leadership 120",Humanities,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/IHL%20120
IHL210,"Integrated healthcare leadership 210",Humanities,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/IHL%20210
